isogroup01556	GO:0005829;GO:0005654;GO:0005634;GO:0048471;GO:0004721;GO:0019901;GO:0004725;GO:0050699;GO:0051301;GO:0008283;GO:0006977;GO:0006260;GO:0000086;GO:0007067;GO:0051726;GO:0000079;GO:0007088;GO:0007283;GO:0016032
isogroup35427	GO:0005789;GO:0016021;GO:0031090;GO:0003885;GO:0050660;GO:0050105;GO:0019853
isogroup30982	GO:0005665;GO:0005654;GO:0005634;GO:0003677;GO:0003899;GO:0046872;GO:0044822;GO:0003968;GO:0031625;GO:0006370;GO:0006353;GO:0008543;GO:0010467;GO:0031047;GO:0000398;GO:0033120;GO:0050434;GO:0006355;GO:0042795;GO:0035019;GO:0006368;GO:0006366;GO:0006367;GO:0006283
isogroup27915	
isogroup25945	GO:0005654;GO:0005634;GO:0003729;GO:0000166;GO:0000380;GO:0060445;GO:0060441;GO:0050679;GO:0043484
isogroup36960	GO:0005737;GO:0005634
isogroup15691	GO:0005882;GO:0005198
isogroup12780	GO:0005777;GO:0050031;GO:0008115;GO:0033514;GO:0046653
isogroup05610	
isogroup31560	GO:0005913;GO:0005737;GO:0034364;GO:0005634;GO:0005886;GO:0098641;GO:0008289;GO:0044822;GO:0008203;GO:0006869
isogroup00282	GO:0005762;GO:0003735
isogroup28175	GO:0035098;GO:0003682;GO:0001047;GO:0018024;GO:1990841;GO:0070734;GO:0045814;GO:0048387;GO:0000122;GO:0045892;GO:0010718;GO:0043547;GO:0043406;GO:0071902;GO:0042752;GO:0048511;GO:0006351
isogroup19655	GO:0005887;GO:0008076;GO:0015467;GO:0005242;GO:0086089;GO:0098914;GO:0010107;GO:1990573;GO:0086091
isogroup04107	GO:0005794;GO:0005634;GO:0048471;GO:0043234;GO:0005524;GO:0003677;GO:0004386;GO:0004402;GO:0003713;GO:0006357;GO:0006351;GO:0016032
isogroup01954	GO:0005769;GO:0070062;GO:0019898;GO:0019899;GO:0035091;GO:2000642;GO:0010629;GO:0042177;GO:0010955;GO:0051224;GO:0015031;GO:0030100;GO:0016050
isogroup12180	GO:0010494;GO:0005634;GO:0005506;GO:0031418;GO:0031544;GO:0031543;GO:0008283;GO:0018126;GO:0006449;GO:0034063
isogroup08690	GO:0005737;GO:0048476;GO:0005720;GO:0005730;GO:0003677;GO:0004519;GO:0046872;GO:0006310;GO:0006281;GO:0072429
isogroup11791	GO:0005615;GO:0005925;GO:0005654;GO:0005634;GO:0003714;GO:0009887;GO:1904837;GO:0090090;GO:0045892;GO:0007165;GO:0006351;GO:0016055
isogroup09721	GO:0005737;GO:0005634;GO:0005839;GO:0019773;GO:0004298;GO:0006511
isogroup11315	GO:0005777;GO:0034831;GO:0051990;GO:0043713;GO:0044594;GO:0018453;GO:0018812;GO:0034840;GO:0048258;GO:0033989;GO:0018452;GO:0019152;GO:0000252;GO:0033709;GO:0052677;GO:0032866;GO:0035410;GO:0018451;GO:0004303;GO:0008875;GO:0004448;GO:0016853;GO:0044103;GO:0032867;GO:0044105;GO:0004495;GO:0032442;GO:0042803;GO:0033765;GO:0030283;GO:0035380;GO:0007568;GO:0071407;GO:0008203;GO:0006635;GO:0042493;GO:0014070;GO:0048545
isogroup31995	GO:0030123;GO:1904115;GO:0030131;GO:0030665;GO:0005794;GO:0005765;GO:0016020;GO:0030742;GO:0019903;GO:0008089;GO:0048490;GO:0048007;GO:0007596;GO:0006886;GO:0032438;GO:0051138;GO:0006622
isogroup12517	GO:0003964;GO:0006313
isogroup27110	GO:0005789;GO:0033116;GO:0005794;GO:0016021;GO:0016192
isogroup18410	GO:0030054;GO:0032154;GO:0005737;GO:0071437;GO:0036449;GO:0030496;GO:0005886;GO:0002102;GO:0007010;GO:0032467
isogroup09204	GO:0005776;GO:0005829;GO:0016020;GO:0005739;GO:0005525;GO:0006914;GO:0015031;GO:0007264
isogroup21300	GO:0005887;GO:0007166
isogroup33016	GO:0005783;GO:0005576;GO:0016020;GO:0043843;GO:0046872;GO:0006006;GO:0006096
isogroup35107	GO:0000796;GO:0005737;GO:0005634;GO:0005524;GO:0046982;GO:0051301;GO:0007059;GO:0007076;GO:0000070
isogroup16039	GO:0005737;GO:0005925;GO:0016477;GO:0048286;GO:0008284
isogroup22491	GO:0005737;GO:0022626;GO:0005622;GO:0016020;GO:0031415;GO:0005730;GO:0005634;GO:0008080;GO:1990190;GO:1990189;GO:0043022;GO:0006475;GO:0018002;GO:0017198;GO:0006474
isogroup22387	
isogroup06072	GO:0005829;GO:0016020;GO:0005643;GO:0005654;GO:0008139;GO:0008565;GO:0060135;GO:0006607;GO:0045944;GO:0006606
isogroup03352	GO:0016020;GO:0005634;GO:0016740;GO:0008270;GO:0016567;GO:0006355;GO:0006351
isogroup08233	GO:0005737;GO:0005759;GO:0005739;GO:0043531;GO:0005524;GO:0004352;GO:0004353;GO:0005525;GO:0042802;GO:0070728;GO:0070403;GO:0008652;GO:0006537;GO:0006538;GO:0006541;GO:0032024;GO:0021762;GO:0072350
isogroup04776	GO:0070461;GO:0006355;GO:0006351
isogroup39424	GO:0005737;GO:0005524;GO:0061630;GO:0031625
isogroup38734	GO:0005913;GO:0005737;GO:0005886;GO:0008013;GO:0008092;GO:0030159;GO:0045176;GO:0060441;GO:0045197;GO:0035556;GO:0072205;GO:0030901;GO:0008285;GO:0030859;GO:0006461;GO:0071896;GO:0042981;GO:0007165;GO:0016337;GO:0045186
